,country,region,happiness_rank,happiness_score,social_support,healthy_life_expectancy,freedom_to_make_life_choices,perceptions_of_corruption,generosity,logged_gdp_per_capita,year
54,Malaysia,Southeastern Asia,55.0,5.77,1.07023,55.9460832,0.53024,0.10501,0.33075,7.0263024670441325,2015
118,Mali,Sub-Saharan Africa,121.0,3.995,1.03526,15.9065424,0.38857,0.12352,0.18798,5.567351644627335,2015
34,Malta,Western Europe,35.0,6.302,1.30203,68.5635888,0.60365,0.13586,0.51752,7.097052449512517,2015
107,Mauritania,Sub-Saharan Africa,110.0,4.436,0.86908,27.7234272,0.24232,0.17461,0.219,6.120451253271691,2015
61,Mauritius,Sub-Saharan Africa,62.0,5.477,0.98521,54.83016,0.56066,0.07521,0.37744,6.916328424326768,2015
13,Mexico,Latin America and Caribbean,14.0,7.187,0.91451,62.9399232,0.48181,0.21312,0.14074,6.92906657159185,2015
46,Moldova,Central and Eastern Europe,47.0,5.889,1.01528,47.779132800000006,0.32818,0.01615,0.20951,6.389367803008857,2015
86,Mongolia,Eastern Asia,87.0,4.874,1.3006,46.5751104,0.43626,0.02666,0.3323,6.720449320672214,2015
71,Montenegro,Central and Eastern Europe,71.0,5.192,0.90557,56.0442288,0.1826,0.14296,0.1614,6.882827138657286,2015
79,Morocco,Middle East and Northern Africa,80.0,5.013,0.64095,47.1052512,0.41691,0.08546,0.07172,6.600944751928688,2015
81,Mozambique,Sub-Saharan Africa,82.0,4.971,1.02626,7.0564368,0.34037,0.15603,0.22269,4.431768726568696,2015
111,Myanmar,Southeastern Asia,114.0,4.307,0.70905,37.2845088,0.44017,0.19034,0.79588,5.60609614069894,2015
136,Namibia,Southeast Asia,105.0,4.533137514593047,0.8976735557177707,36.71809306436879,0.568631927559158,0.35669709504477837,-0.011444506047283816,7.869942996934204,2015
104,Nepal,Southern Asia,107.0,4.514,0.86449,43.9522272,0.38282,0.05907,0.32296,5.888794852386603,2015
6,Netherlands,Western Europe,7.0,7.378,1.28017,68.9986752,0.61576,0.31814,0.4761,7.193264993572261,2015
8,New Zealand,Australia and New Zealand,9.0,7.286,1.31967,70.1988336,0.63938,0.42922,0.47501,7.131842385008559,2015
51,Nicaragua,Latin America and Caribbean,52.0,5.828,1.14184,57.4298592,0.55475,0.19317,0.27815,6.387300106240303,2015
124,Niger,Sub-Saharan Africa,127.0,3.845,0.77265,22.9575696,0.47692,0.15639,0.19387,4.254193263163997,2015
68,Nigeria,Sub-Saharan Africa,69.0,5.268,0.90432,12.3702096,0.34334,0.0403,0.27233,6.485169444065555,2015
80,North Macedonia,Central and Eastern Europe,81.0,5.007,1.00232,56.835576,0.33457,0.05327,0.22359,6.82384091946104,2015
3,Norway,Western Europe,4.0,7.522,1.33095,68.4090288,0.66973,0.36503,0.34699,7.286191714702382,2015
69,Pakistan,Southern Asia,70.0,5.194,0.41411,39.7729248,0.12102,0.10464,0.33671,6.390961883436355,2015
23,Panama,Latin America and Caribbean,24.0,6.786,1.1985,61.562020800000006,0.5421,0.0927,0.24434,6.970288666181608,2015
47,Paraguay,Latin America and Caribbean,48.0,5.878,1.30477,51.080534400000005,0.53899,0.08242,0.3424,6.634436229366123,2015
52,Peru,Latin America and Caribbean,53.0,5.824,0.97459,56.4275376,0.41496,0.05989,0.14982,6.803716112180502,2015
78,Philippines,Southeastern Asia,79.0,5.073,1.03516,44.9104992,0.62545,0.12279,0.24991,6.560068392593327,2015
53,Poland,Central and Eastern Europe,54.0,5.791,1.27948,60.2034384,0.53122,0.04212,0.16759,7.026915144151395,2015
76,Portugal,Western Europe,77.0,5.102,1.13935,67.6346832,0.51469,0.01078,0.13719,7.056959459313264,2015
74,Romania,Central and Eastern Europe,75.0,5.124,0.88588,59.420592000000006,0.35068,0.00649,0.13748,6.951245710056665,2015
56,Russia,Central and Eastern Europe,57.0,5.716,1.23617,51.7204128,0.36679,0.03005,0.00199,7.03758984676237,2015
32,Saudi Arabia,Middle East and Northern Africa,33.0,6.411,1.08393,55.66092,0.31048,0.32524,0.13706,7.241659936477081,2015
122,Senegal,Sub-Saharan Africa,125.0,3.904,0.97619,33.647712,0.36772,0.10713,0.20843,5.902578687099541,2015
75,Serbia,Central and Eastern Europe,76.0,5.123,1.00964,57.833260800000005,0.20107,0.02617,0.19231,6.826035332195799,2015
106,Sierra Leone,Sub-Saharan Africa,109.0,4.507,0.95571,0.0,0.4084,0.08786,0.21488,5.802843188165499,2015
22,Singapore,Southeastern Asia,23.0,6.798,1.02,79.23132,0.54252,0.4921,0.31105,7.32834542483537,2015
39,Slovakia,Central and Eastern Europe,40.0,5.995,1.26999,60.97546560000001,0.31751,0.03431,0.16893,7.064682101756147,2015
49,Slovenia,Central and Eastern Europe,50.0,5.848,1.27385,67.4940336,0.60855,0.03787,0.25328,7.078324716009074,2015
98,South Africa,Sub-Saharan Africa,100.0,4.642,1.18468,21.3972864,0.33207,0.08884,0.11973,6.825991925179048,2015
41,South Korea,Eastern Asia,42.0,5.984,0.95774,74.6045664,0.33208,0.07857,0.18557,7.127380648747035,2015
33,Spain,Western Europe,34.0,6.329,1.31379,73.8503136,0.45951,0.06398,0.18227,7.115671480437572,2015
114,Sri Lanka,Southern Asia,117.0,4.271,1.01905,54.7188768,0.53726,0.09179,0.40828,6.728915653224452,2015
93,State of Palestine,Middle East and Northern Africa,95.0,4.715,0.92558,51.016392,0.24499,0.12905,0.11251,6.396379503910666,2015
7,Sweden,Western Europe,8.0,7.364,1.28907,70.39203359999999,0.6598,0.43844,0.36262,7.194969742121723,2015
0,Switzerland,Western Europe,1.0,7.587,1.34951,72.7537104,0.66557,0.41978,0.29678,7.242447360638716,2015
35,Taiwan Province of China,Eastern Asia,36.0,6.298,1.07617,67.643184,0.3974,0.08129,0.25376,7.163931204346572,2015
91,Tajikistan,Central and Eastern Europe,93.0,4.786,0.85563,44.342491200000005,0.47216,0.15072,0.22974,5.969908884142265,2015
126,Tanzania,Sub-Saharan Africa,129.0,3.781,1.00268,29.532552,0.32878,0.05747,0.34377,5.65669086712235,2015
31,Thailand,Southeastern Asia,32.0,6.455,1.26504,57.07128,0.55664,0.03187,0.5763,6.875128776155043,2015
134,Togo,Sub-Saharan Africa,137.0,2.839,0.13995,21.9807504,0.36453,0.10731,0.16681,5.345582559015151,2015
92,Tunisia,Middle East and Northern Africa,94.0,4.739,0.60429,57.0272304,0.26268,0.06358,0.06431,6.782339437435865,2015
66,Turkiye,Middle East and Northern Africa,67.0,5.332,0.94632,56.5473216,0.22815,0.15746,0.12253,6.967890369232839,2015
121,Uganda,Sub-Saharan Africa,124.0,3.931,1.13299,26.167780800000003,0.45727,0.07267,0.29066,5.356680609844951,2015
96,Ukraine,Central and Eastern Europe,98.0,4.681,1.20278,52.07899200000001,0.25123,0.02961,0.15275,6.684699223840026,2015
19,United Arab Emirates,Middle East and Northern Africa,20.0,6.901,1.12575,62.53884,0.64157,0.38583,0.26428,7.264219200657237,2015
20,United Kingdom,Western Europe,21.0,6.867,1.28548,70.2807504,0.59625,0.32067,0.51912,7.144699166102717,2015
14,United States,North America,15.0,7.119,1.24711,66.5991312,0.54604,0.1589,0.40105,7.241015218841063,2015
29,Uruguay,Latin America and Caribbean,30.0,6.485,1.2089,62.720448,0.60362,0.24558,0.2324,6.968530477696596,2015
38,Uzbekistan,Central and Eastern Europe,39.0,6.003,1.34043,46.191801600000005,0.65821,0.30826,0.22837,6.45116528335782,2015
21,Venezuela,Latin America and Caribbean,22.0,6.81,1.25596,55.681785600000005,0.42908,0.11069,0.05841,6.952001803101696,2015
65,Vietnam,Southeastern Asia,66.0,5.36,0.91226,57.7096128,0.59444,0.10441,0.1686,6.450723154817537,2015
73,Zambia,Sub-Saharan Africa,74.0,5.129,0.91612,23.1252672,0.48827,0.12468,0.19591,6.155664562788242,2015
100,Zimbabwe,Sub-Saharan Africa,102.0,4.61,1.03276,25.86948,0.25861,0.08079,0.18987,5.605802066295998,2015
270,Afghanistan,Southern Asia,136.0,3.36,0.11037,13.403443200000002,0.1643,0.07112,0.31268,5.948739701647985,2016
231,Albania,Central and Eastern Europe,97.0,4.655,0.50163,56.4198096,0.31866,0.05301,0.1684,6.863071671355497,2016
172,Algeria,Middle East and Northern Africa,36.0,6.355,0.83309,47.762131200000006,0.21006,0.16157,0.07044,6.960025096415818,2016
161,Argentina,Latin America and Caribbean,25.0,6.65,1.06612,53.8726608,0.42284,0.07296,0.10989,7.049575970243959,2016
243,Armenia,Central and Eastern Europe,109.0,4.36,0.62477,49.5233424,0.14037,0.03616,0.07793,6.759092844480235,2016
145,Australia,Australia and New Zealand,9.0,7.313,1.10476,65.780736,0.56837,0.32331,0.47407,7.276162134133695,2016
148,Austria,Western Europe,12.0,7.119,1.08383,62.260632,0.54355,0.21348,0.32865,7.280270106950279,2016
174,Bahrain,Middle East and Northern Africa,38.0,6.218,0.94397,50.7698688,0.47375,0.25772,0.17147,7.273259133137689,2016
232,Bangladesh,Southern Asia,98.0,4.643,0.24749,40.9498992,0.39778,0.12583,0.19132,6.296685657457647,2016
153,Belgium,Western Europe,17.0,6.929,1.05249,63.337915200000005,0.51354,0.26248,0.2424,7.2629020558681585,2016
269,Benin,Sub-Saharan Africa,135.0,3.484,0.10419,16.2504384,0.39747,0.06681,0.2018,5.981388958410378,2016
189,Bolivia,Latin America and Caribbean,53.0,5.822,0.83779,36.298416,0.50961,0.07746,0.21698,6.678618805931518,2016
210,Bosnia and Herzegovina,Central and Eastern Europe,74.0,5.163,0.64367,54.6879648,0.09511,0.0,0.29889,6.840364694575939,2016
257,Botswana,Sub-Saharan Africa,123.0,3.974,0.89186,26.8563456,0.44089,0.10769,0.12425,6.998747056987867,2016
152,Brazil,Latin America and Caribbean,16.0,6.952,1.03938,47.461512,0.40425,0.14166,0.15776,6.9925926278175154,2016
251,Bulgaria,Central and Eastern Europe,117.0,4.217,0.92542,52.4004768,0.21219,0.00615,0.12793,7.015766279000927,2016
263,Burkina Faso,Sub-Saharan Africa,129.0,3.739,0.63054,16.4583216,0.3337,0.12533,0.24353,5.771285347757787,2016
260,Cambodia,Southeastern Asia,126.0,3.907,0.5375,32.8393632,0.58852,0.08092,0.40339,6.322637050634291,2016
236,Cameroon,Sub-Saharan Africa,102.0,4.513,0.62542,9.8130144,0.42736,0.06126,0.2268,6.265244176890665,2016
142,Canada,North America,6.0,7.404,1.0961,63.956928,0.5737,0.31329,0.44834,7.273196684960982,2016
262,Chad,Sub-Saharan Africa,128.0,3.763,0.63178,2.9551872,0.12807,0.04952,0.18667,6.047703093555172,2016
159,Chile,Latin America and Caribbean,23.0,6.705,0.90587,63.2791824,0.37789,0.11451,0.31595,7.104719112512962,2016
207,China,Eastern Asia,71.0,5.245,0.79381,56.8479408,0.44012,0.02745,0.04959,6.936148353483355,2016
166,Colombia,Latin America and Caribbean,30.0,6.481,1.02169,46.1044752,0.44735,0.05399,0.15626,6.938594814133109,2016
258,Comoros,Sub-Saharan Africa,124.0,3.956,0.60323,23.1693168,0.15412,0.18437,0.1827,5.620726899518875,2016
249,Congo (Brazzaville),Sub-Saharan Africa,115.0,4.236,0.47799,21.8022336,0.37938,0.09753,0.12077,6.6491011235407,2016
247,Congo (Kinshasa),Sub-Saharan Africa,113.0,4.272,0.80676,14.52864,0.15602,0.06075,0.25458,4.053696163744291,2016
150,Costa Rica,Latin America and Caribbean,14.0,7.087,1.02152,58.8456288,0.55225,0.10547,0.22553,6.975217646511864,2016
200,Croatia,Central and Eastern Europe,64.0,5.488,0.60809,54.5009472,0.23907,0.04002,0.18434,7.079597114820707,2016
195,Cyprus,Western Europe,59.0,5.546,0.70697,65.595264,0.29507,0.05228,0.27906,7.185061204934134,2016
162,Czechia,Central and Eastern Europe,26.0,6.596,1.00793,59.0233728,0.41418,0.03986,0.09929,7.177896913456929,2016
137,Denmark,Western Europe,1.0,7.526,1.16374,61.4406912,0.57941,0.44453,0.36171,7.274327086998181,2016
212,Dominican Republic,Latin America and Caribbean,76.0,5.155,0.99496,44.5666032,0.52259,0.12372,0.21286,6.936216391604169,2016
182,Ecuador,Latin America and Caribbean,46.0,5.976,0.85974,53.0241264,0.4027,0.18037,0.10074,6.881472903387943,2016
242,Egypt,Middle East and Northern Africa,108.0,4.362,0.49813,40.2752448,0.18847,0.10393,0.12706,6.861658983089163,2016
177,El Salvador,Latin America and Caribbean,41.0,6.068,0.80975,46.05888,0.37269,0.10613,0.08877,6.773880970425809,2016
198,Estonia,Central and Eastern Europe,62.0,5.517,1.05163,52.626134400000005,0.41511,0.18519,0.08423,7.155115231955314,2016
237,Ethiopia,Sub-Saharan Africa,103.0,4.508,0.37932,26.7218784,0.36703,0.1717,0.29522,5.683001368805979,2016
141,Finland,Western Europe,5.0,7.413,1.13464,62.6671248,0.57104,0.41004,0.25492,7.24920084237228,2016
167,France,Western Europe,31.0,6.478,1.00508,64.756776,0.46562,0.17808,0.1216,7.241280319742168,2016
255,Gabon,Sub-Saharan Africa,121.0,4.121,0.72368,27.001632,0.28098,0.09314,0.06244,7.055752781065468,2016
272,Gambia,Sub-Saharan Africa,92.0,4.81114996525,0.556479675,45.708004075,0.5899498854090909,0.579929454,0.44446634591666667,7.59294153494693,2016
248,Georgia,Central and Eastern Europe,114.0,4.252,0.19249,49.486248,0.32461,0.3188,0.06786,6.732115350311895,2016
151,Germany,Western Europe,15.0,6.994,1.09774,62.9731536,0.53466,0.28551,0.30452,7.278539221249629,2016
246,Ghana,Sub-Saharan Africa,112.0,4.276,0.49353,22.9374768,0.40973,0.0326,0.21203,6.449000147507149,2016
221,Greece,Western Europe,85.0,5.033,0.75473,61.8464112,0.05822,0.04127,0.0,7.130786824023879,2016
173,Guatemala,Latin America and Caribbean,37.0,6.324,0.87119,41.7613392,0.50379,0.08701,0.28808,6.728078222413091,2016
268,Guinea,Sub-Saharan Africa,134.0,3.607,0.3109,14.551051200000002,0.30953,0.1192,0.29914,5.4167668467475805,2016
226,Honduras,Latin America and Caribbean,90.0,4.871,0.75596,45.1183824,0.26755,0.06906,0.2044,6.544329024720517,2016
201,Hong Kong S.A.R. of China,Eastern Asia,65.0,5.458,0.87021,73.6300656,0.48079,0.31647,0.40097,7.320990124354662,2016
214,Hungary,Central and Eastern Europe,78.0,5.145,0.93164,52.2474624,0.1977,0.04472,0.099,7.124816369579989,2016
139,Iceland,Western Europe,3.0,7.501,1.18326,67.0272624,0.56624,0.14975,0.47678,7.263792019312263,2016
240,India,Southern Asia,106.0,4.404,0.29247,34.8463248,0.40285,0.08722,0.25028,6.608486337278436,2016
204,Indonesia,Southeastern Asia,68.0,5.314,0.87625,38.1562272,0.39237,0.00322,0.56521,6.858607050715407,2016
227,Iran,Middle East and Northern Africa,91.0,4.813,0.38857,49.6384896,0.22544,0.0557,0.38538,7.019815302735425,2016
234,Iraq,Middle East and Northern Africa,100.0,4.575,0.59205,39.4715328,0.24856,0.13636,0.19589,6.980764075835391,2016
154,Ireland,Western Europe,18.0,6.907,1.16157,62.948424,0.54008,0.29754,0.44963,7.3027726658923955,2016
147,Israel,Middle East and Northern Africa,11.0,7.267,0.99537,65.6238576,0.36432,0.08728,0.32288,7.199424392611373,2016
181,Italy,Western Europe,45.0,5.977,1.04167,65.7668256,0.18827,0.02556,0.16684,7.212257594664167,2016
259,Ivory Coast,Sub-Saharan Africa,125.0,3.916,0.57576,3.4590528000000003,0.40663,0.1553,0.20338,6.320894185606509,2016
199,Jamaica,Latin America and Caribbean,63.0,5.51,0.96372,45.95764320000001,0.43597,0.04294,0.22245,6.796074834579492,2016
183,Japan,Eastern Asia,47.0,5.921,1.06054,70.7042448,0.46761,0.18985,0.10224,7.230613840032017,2016
205,Jordan,Middle East and Northern Africa,69.0,5.303,0.86216,46.9182336,0.36023,0.13297,0.14262,6.905482698626459,2016
184,Kazakhstan,Central and Eastern Europe,48.0,5.919,0.95544,44.347900800000005,0.4052,0.11132,0.15011,7.11511898076883,2016
244,Kenya,Sub-Saharan Africa,110.0,4.356,0.7624,23.2976016,0.40576,0.06686,0.41328,6.260861714939627,2016
202,Kosovo,Central and Eastern Europe,66.0,5.401,0.66062,41.7312,0.14396,0.06547,0.27992,6.805113287010257,2016
208,Kyrgyzstan,Central and Eastern Europe,72.0,5.185,0.95434,42.850987200000006,0.40212,0.04762,0.38432,6.330504911834905,2016
224,Laos,Southeastern Asia,88.0,4.876,0.5497,29.5912848,0.52168,0.22423,0.43079,6.52417885613161,2016
194,Latvia,Central and Eastern Europe,58.0,5.56,0.95025,49.4221056,0.27996,0.0889,0.17445,7.105687683290239,2016
216,Lebanon,Middle East and Northern Africa,80.0,5.129,0.64184,58.8649488,0.26228,0.03061,0.23693,7.02436429241071,2016
267,Liberia,Sub-Saharan Africa,133.0,3.622,0.50353,17.901912,0.25748,0.04852,0.24063,4.68268662841592,2016
190,Lithuania,Central and Eastern Europe,54.0,5.813,1.06411,49.9800672,0.18929,0.0182,0.02025,7.146929647368874,2016
155,Luxembourg,Western Europe,19.0,6.871,1.03999,65.3340576,0.5487,0.35329,0.27571,7.437512562626986,2016
265,Madagascar,Sub-Saharan Africa,131.0,3.695,0.46115,28.6778352,0.13684,0.07506,0.2204,5.636716317291525,2016
254,Malawi,Sub-Saharan Africa,120.0,4.156,0.147,22.6924992,0.4143,0.07564,0.30968,4.478359019121704,2016
178,Malaysia,Southeastern Asia,42.0,6.005,0.88025,48.1964448,0.39031,0.09081,0.41474,7.132832958663611,2016
256,Mali,Sub-Saharan Africa,122.0,4.073,0.86333,12.6329616,0.27544,0.13647,0.21064,5.749138176376998,2016
165,Malta,Western Europe,29.0,6.488,1.09879,62.067432,0.54994,0.17554,0.56237,7.176881246905321,2016
252,Mauritania,Sub-Saharan Africa,118.0,4.201,0.84142,22.1322192,0.1268,0.17955,0.22686,6.421475915634146,2016
193,Mauritius,Sub-Saharan Africa,57.0,5.648,0.75695,51.1508592,0.46145,0.05203,0.36951,7.042915344598479,2016
156,Mexico,Latin America and Caribbean,20.0,6.778,0.7146,54.9793104,0.37709,0.18355,0.11735,7.017577824959853,2016
185,Moldova,Central and Eastern Europe,49.0,5.897,0.83132,40.424395200000006,0.25202,0.01903,0.19997,6.540698053770227,2016
223,Mongolia,Eastern Asia,87.0,4.907,1.08983,42.8664432,0.35972,0.03285,0.34539,6.897230082925626,2016
